% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6824 +2.507949340e+00 +2.507949340e+00 +3.840794934e+01 +3.840794934e+01 +2.6663e+00 +1.6057e+00 +2.4493e+00 +3.2735e+00 -7.6938e-01 -3.1726e+00 -2.9154e+00 -1.7905e+00 -3.0179e+00 -2.1963e+00
6979 +1.443948657e+00 +1.443948657e+00 +3.734394866e+01 +3.734394866e+01 +2.6874e+00 +1.4440e+00 +2.5920e+00 +3.2172e+00 -9.1691e-01 -3.1202e+00 -2.8864e+00 -1.9718e+00 -2.8114e+00 -2.4533e+00
7752 +9.346932448e-01 +9.346932448e-01 +3.683469324e+01 +3.683469324e+01 +2.6932e+00 +1.4291e+00 +2.5338e+00 +3.2944e+00 -8.7441e-01 -3.1049e+00 -2.8014e+00 -2.0518e+00 -2.9161e+00 -2.5276e+00
9737 +6.254793885e-01 +6.254793885e-01 +3.652547939e+01 +3.652547939e+01 +2.7038e+00 +1.3951e+00 +2.4977e+00 +3.3692e+00 -1.0346e+00 -3.1100e+00 -2.7992e+00 -2.0994e+00 -2.9956e+00 -2.5911e+00
11741 +3.885936192e-01 +3.885936192e-01 +3.628859362e+01 +3.628859362e+01 +2.7050e+00 +1.3446e+00 +2.5066e+00 +3.3568e+00 -1.1401e+00 -3.0958e+00 -2.7673e+00 -2.1108e+00 -3.1075e+00 -2.6228e+00
12294 +2.493028745e-01 +2.493028745e-01 +3.614930287e+01 +3.614930287e+01 +2.7090e+00 +1.2773e+00 +2.5063e+00 +3.3843e+00 -1.2277e+00 -3.0869e+00 -2.7410e+00 -2.1423e+00 -3.1502e+00 -2.6595e+00
13117 +1.558046576e-01 +1.558046576e-01 +3.605580466e+01 +3.605580466e+01 +2.7180e+00 +1.2424e+00 +2.5242e+00 +3.3895e+00 -1.3143e+00 -3.0692e+00 -2.6988e+00 -2.1065e+00 -3.1465e+00 -2.7165e+00
13526 +9.180078990e-02 +9.180078990e-02 +3.599180079e+01 +3.599180079e+01 +2.7395e+00 +1.2245e+00 +2.5544e+00 +3.3690e+00 -1.2927e+00 -3.0930e+00 -2.6286e+00 -2.1593e+00 -3.1642e+00 -2.7698e+00
14752 +6.132485602e-02 +6.132485602e-02 +3.596132486e+01 +3.596132486e+01 +2.7598e+00 +1.1974e+00 +2.5554e+00 +3.3850e+00 -1.3271e+00 -3.0942e+00 -2.5902e+00 -2.1514e+00 -3.1631e+00 -2.7935e+00
15079 +3.642274002e-02 +3.642274002e-02 +3.593642274e+01 +3.593642274e+01 +2.7572e+00 +1.1628e+00 +2.5750e+00 +3.3989e+00 -1.3791e+00 -3.0843e+00 -2.5846e+00 -2.1268e+00 -3.1713e+00 -2.8151e+00
15289 +2.367548745e-02 +2.367548745e-02 +3.592367549e+01 +3.592367549e+01 +2.7691e+00 +1.1516e+00 +2.5939e+00 +3.4177e+00 -1.3688e+00 -3.0950e+00 -2.5836e+00 -2.1195e+00 -3.1623e+00 -2.8467e+00
15583 +1.475050224e-02 +1.475050224e-02 +3.591475050e+01 +3.591475050e+01 +2.7720e+00 +1.1479e+00 +2.5830e+00 +3.4244e+00 -1.3923e+00 -3.1025e+00 -2.5780e+00 -2.1091e+00 -3.1645e+00 -2.8610e+00
17433 +9.488098668e-03 +9.488098668e-03 +3.590948810e+01 +3.590948810e+01 +2.7735e+00 +1.1466e+00 +2.5764e+00 +3.4207e+00 -1.4103e+00 -3.0849e+00 -2.5738e+00 -2.1079e+00 -3.1749e+00 -2.8711e+00
21883 +6.286821090e-03 +6.286821090e-03 +3.590628682e+01 +3.590628682e+01 +2.7748e+00 +1.1385e+00 +2.5766e+00 +3.4235e+00 -1.4111e+00 -3.0881e+00 -2.5712e+00 -2.1127e+00 -3.1705e+00 -2.8759e+00
25459 +3.979008849e-03 +3.979008849e-03 +3.590397901e+01 +3.590397901e+01 +2.7753e+00 +1.1296e+00 +2.5814e+00 +3.4286e+00 -1.4114e+00 -3.0908e+00 -2.5691e+00 -2.1123e+00 -3.1659e+00 -2.8845e+00
