% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6 +1.548649022e+02 +1.548649022e+02 +5.625549022e+02 +5.625549022e+02 -4.5127e+00 -1.5373e-01 -9.1380e-01 -1.3491e+00 -2.8322e+00 +3.5135e+00 -2.6735e+00 +2.2616e+00 -4.5660e+00 -3.5257e+00 -2.6268e+00 +2.0157e+00 -2.2779e+00 +7.6882e-01 -2.7212e+00 +2.7675e+00 +2.2894e+00 -1.5860e+00 +8.6534e-01 -3.8319e+00
8 +7.377459258e+01 +7.377459258e+01 +4.814645926e+02 +4.814645926e+02 +9.6265e-01 -1.2140e+00 +2.4198e+00 +2.4228e+00 +2.0282e+00 -2.0199e-02 -1.7373e+00 -1.9911e+00 +4.1745e+00 +3.7901e+00 -1.5295e+00 +4.4734e+00 -3.6223e+00 +4.6342e+00 +9.3138e-01 -3.0498e+00 -3.3048e+00 +3.5406e+00 +1.0276e+00 -2.8156e+00
32 +3.086790923e+01 +3.086790923e+01 +4.385579092e+02 +4.385579092e+02 +3.0383e+00 +8.6866e-01 +3.8334e-02 +1.6543e+00 -2.4721e+00 +2.1433e+00 +1.6719e-01 -1.5105e+00 +3.3382e+00 -2.4691e-02 +3.1027e+00 +3.3864e+00 -1.6636e+00 -3.5340e+00 -1.4648e+00 -4.8221e+00 +9.8282e-01 +3.6438e+00 -7.2483e-01 -1.7193e+00
% function evaluation | noise-free fitness - Fopt (5.592000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.790179559e+02 +1.790179559e+02 +2.349379559e+02 +2.349379559e+02 -3.6914e+00 +1.0868e+00 -3.1135e+00 +3.1264e+00 +4.2495e-01 +1.5306e+00 +3.9231e+00 +3.2919e+00 +4.2686e+00 +2.3300e+00 -4.7913e+00 +4.5987e+00 -5.7948e-01 +2.6885e+00 +7.1949e-01 -2.0750e+00 -2.6746e+00 +1.0293e+00 -3.4337e+00 -5.5487e-01
2 +9.614280348e+01 +9.614280348e+01 +1.520628035e+02 +1.520628035e+02 +3.6101e+00 -3.2949e-01 -1.5211e+00 -3.8178e+00 +3.2390e+00 +3.6878e+00 +4.3803e+00 -2.1752e+00 +2.9809e+00 -6.6164e-01 +4.7898e+00 +4.6912e+00 -4.0846e+00 -1.5955e+00 -9.9175e-01 -3.0939e+00 -3.6075e+00 -1.4542e+00 -3.8412e+00 +1.4073e+00
33 +2.982023111e+01 +2.982023111e+01 +8.574023111e+01 +8.574023111e+01 +2.5149e+00 -4.1432e+00 +2.6598e+00 -8.2921e-01 +8.9496e-01 +1.1641e+00 +2.0500e+00 -3.8466e+00 +1.6481e+00 -3.2045e+00 +4.3801e+00 +1.2558e+00 -1.2805e+00 +4.5170e+00 +2.6676e-02 -3.4181e-01 +3.1331e+00 -6.1992e-01 -3.1720e+00 -4.5802e+00
% function evaluation | noise-free fitness - Fopt (4.619000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.467511555e+02 +1.467511555e+02 +1.929411555e+02 +1.929411555e+02 -2.2115e+00 -3.7592e+00 -3.9331e+00 -4.3692e+00 +3.9212e+00 -5.1400e-01 -2.9503e+00 +1.4337e+00 -2.2262e+00 +1.3554e+00 +4.4259e+00 +6.4682e-01 +4.2503e+00 +2.1985e+00 -9.1495e-01 +4.5756e+00 +1.5927e+00 +1.2400e+00 -1.8288e-01 -4.9351e+00
11 +7.767109051e+01 +7.767109051e+01 +1.238610905e+02 +1.238610905e+02 +1.3501e-01 +4.5566e+00 -2.9980e+00 +7.2196e-01 -2.5076e+00 -4.7998e+00 -3.6405e+00 +4.3133e-01 -1.5626e+00 +4.5649e+00 +4.2958e+00 -4.0486e+00 +1.4499e+00 -2.9243e+00 -3.2744e+00 -3.3566e+00 +2.6071e+00 -3.3152e+00 -4.8523e+00 +3.4579e+00
