% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.390960991e+01 +5.390960991e+01 -8.907039009e+01 -8.907039009e+01 -1.6729e+00 -4.5710e+00 +1.0207e+00 -2.8351e+00 +4.1044e+00 +4.1375e+00 +1.5665e+00 -4.8577e+00 +2.0527e+00 +4.9466e+00 -3.3955e+00 -3.7271e+00 -2.9368e+00 +4.8066e+00 +2.8667e+00 +1.9686e+00 -4.8515e+00 +1.8068e+00 +1.4745e+00 -3.9292e-01
34 +3.222636477e+01 +3.222636477e+01 -1.107536352e+02 -1.107536352e+02 +3.5786e+00 -1.5622e+00 +2.3952e+00 -5.6743e-02 -9.7199e-01 +2.7571e+00 +1.2885e+00 -1.9293e+00 +3.7785e+00 -2.4403e+00 -3.8221e+00 +3.8979e+00 +4.2465e+00 -4.0049e-01 -1.0544e+00 -4.0790e+00 +1.4014e+00 +6.3899e-01 +2.3867e+00 -4.8355e+00
% function evaluation | noise-free fitness - Fopt (2.468600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.733293288e+01 +7.733293288e+01 +3.241929329e+02 +3.241929329e+02 +9.0507e-01 -7.3061e-02 +2.0339e+00 -7.8011e-01 -1.1904e+00 -1.9408e+00 -3.0569e+00 -3.2826e+00 +2.1547e+00 +4.9753e+00 -3.5282e+00 +4.2153e-01 +3.8859e+00 -2.6691e+00 -4.4549e+00 -3.4706e+00 +4.8232e+00 +2.3959e-01 +1.3530e+00 -3.8632e+00
2 +5.411082202e+01 +5.411082202e+01 +3.009708220e+02 +3.009708220e+02 -3.6172e+00 -1.7703e+00 -2.1492e+00 -1.9223e+00 +3.9665e+00 -4.5661e+00 -1.0384e+00 -1.0593e+00 +3.6252e+00 +3.9516e+00 +2.3481e+00 -2.1188e+00 -2.1405e+00 -2.5820e+00 -3.0524e-01 -3.1606e+00 -3.6971e+00 +4.1737e+00 -3.5897e+00 +3.7888e+00
11 +3.777148292e+01 +3.777148292e+01 +2.846314829e+02 +2.846314829e+02 -3.8254e+00 +2.8935e+00 +3.6848e+00 +4.8918e+00 -1.4403e+00 +3.1701e+00 -3.5898e+00 -3.3673e+00 -4.1999e+00 -1.7369e+00 +3.5522e+00 -1.9366e+00 -3.8876e+00 +3.3652e+00 +3.1823e+00 -1.2330e+00 +1.3772e+00 +1.7116e+00 -3.3248e+00 -7.9911e-01
% function evaluation | noise-free fitness - Fopt (1.392300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.563971009e+01 +6.563971009e+01 +2.048697101e+02 +2.048697101e+02 +5.6296e-01 +2.1452e+00 -4.9975e+00 +4.8567e+00 -4.2586e+00 +1.0007e-02 +2.5031e+00 -1.8535e+00 +1.8068e+00 +1.9190e-01 +3.4544e+00 -4.4580e+00 +1.8693e+00 -3.1376e+00 +3.6004e+00 +2.9213e+00 -1.2682e+00 -4.9114e+00 -1.6753e+00 +3.1990e+00
3 +3.489622412e+01 +3.489622412e+01 +1.741262241e+02 +1.741262241e+02 +3.2949e-01 -2.5215e+00 -4.7092e+00 +4.3755e+00 +8.8342e-01 +2.7153e+00 +8.9858e-01 +4.4986e+00 +1.2895e+00 -2.1914e+00 +1.0035e+00 +1.4921e+00 -1.2454e+00 -3.7790e+00 +3.3893e+00 +5.7368e-01 +1.4006e+00 -7.6043e-01 -2.6566e+00 -3.5732e+00
% function evaluation | noise-free fitness - Fopt (-1.838000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.184006335e+02 +1.184006335e+02 +1.000206335e+02 +1.000206335e+02 -3.3660e-01 -2.9393e+00 -3.0831e-01 +3.0699e+00 +1.9798e+00 -8.6157e-01 -2.2425e+00 +1.8935e+00 -4.0450e+00 -3.6176e+00 -1.6249e+00 +3.3618e+00 +4.4284e+00 +1.2054e+00 +2.2845e+00 +1.9098e+00 -3.1920e+00 -8.8373e-01 -2.6748e+00 +3.2735e+00
2 +6.544602129e+01 +6.544602129e+01 +4.706602129e+01 +4.706602129e+01 -4.6387e+00 -4.7508e+00 +4.3995e+00 +1.9802e+00 -4.5177e+00 -3.2905e+00 -3.5484e+00 -2.3056e+00 +4.6683e+00 +2.5789e+00 +2.9276e+00 -1.0275e+00 +3.5005e+00 -2.2388e+00 -1.3425e+00 +2.0976e+00 +3.7951e+00 +1.7980e+00 -1.3782e-01 -3.8108e+00
4 +5.500983694e+01 +5.500983694e+01 +3.662983694e+01 +3.662983694e+01 +2.5829e-01 +4.2115e+00 +1.7153e+00 -3.3094e+00 +7.6983e-03 -1.9268e+00 -4.9123e+00 -8.2220e-01 +4.0982e+00 +3.3898e+00 -4.8458e+00 -2.1153e+00 -2.3657e+00 +4.7658e+00 +1.8935e+00 +1.2209e+00 -2.5242e+00 -1.5600e+00 -4.3090e+00 +5.9921e-02
16 +3.893893458e+01 +3.893893458e+01 +2.055893458e+01 +2.055893458e+01 -3.4595e+00 +1.3246e+00 +2.5713e+00 +4.9509e+00 -2.7386e+00 -1.7645e+00 +3.2049e+00 -2.8153e+00 -1.6595e+00 +1.5017e+00 +8.2406e-01 -3.0789e+00 +2.5728e+00 -5.9420e-01 -3.9994e+00 -1.9230e+00 -1.5931e+00 -2.8505e+00 -1.3895e+00 -3.4571e+00
% function evaluation | noise-free fitness - Fopt (-3.928400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.960767013e+01 +7.960767013e+01 -3.132323299e+02 -3.132323299e+02 +3.7037e+00 -2.3297e+00 +3.6437e+00 -1.9731e+00 -3.1152e+00 +3.6950e-01 -8.8781e-01 +1.8133e+00 -2.9044e+00 +3.5026e+00 -8.6674e-01 -1.8591e+00 +4.0062e+00 +3.7049e+00 +4.4778e+00 +5.5203e-01 +3.2143e+00 -3.4344e+00 -8.7386e-01 +1.3152e+00
2 +5.190813042e+01 +5.190813042e+01 -3.409318696e+02 -3.409318696e+02 -5.1605e-01 -2.5341e+00 +1.0628e+00 +1.1644e-01 +1.4686e+00 +1.4152e+00 -3.2309e+00 -4.7848e+00 -1.2181e+00 +1.4516e+00 -1.7437e+00 -3.7115e+00 -4.4854e+00 -6.0756e-01 -2.0789e-01 +6.9938e-01 -1.4026e+00 +1.2727e+00 -1.0210e+00 +2.5918e+00
107 +3.458112322e+01 +3.458112322e+01 -3.582588768e+02 -3.582588768e+02 -4.9789e+00 -1.1978e+00 -3.4815e+00 +9.1154e-01 -4.5269e+00 +2.8118e+00 +1.8955e+00 +3.1127e+00 -2.7388e+00 +2.1347e+00 +3.6774e+00 +1.2501e+00 +4.6208e+00 -3.3017e+00 -1.5795e+00 -1.0369e+00 +6.2694e-02 -4.7047e+00 +3.1072e+00 -4.9790e+00
% function evaluation | noise-free fitness - Fopt (2.292200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.950623449e+01 +4.950623449e+01 +2.787262345e+02 +2.787262345e+02 +1.7100e+00 +1.5759e+00 +3.1713e+00 -3.0549e+00 -4.5000e+00 -4.1445e+00 -4.1726e+00 +3.3199e+00 +9.0541e-01 -3.6797e+00 -3.5468e+00 -4.6159e+00 -4.1500e+00 -4.9961e+00 -3.2613e+00 -3.1551e+00 +1.1751e+00 +3.0433e+00 -3.7931e+00 +4.2715e+00
12 +3.766598639e+01 +3.766598639e+01 +2.668859864e+02 +2.668859864e+02 +3.2375e+00 +4.0844e+00 +4.2509e-01 -4.0645e-01 +2.3495e+00 -1.5738e+00 -6.4641e-01 +2.4676e+00 -9.9104e-01 +4.5093e-01 -1.9642e+00 +4.9673e+00 -1.8258e+00 +3.5005e+00 +4.2801e+00 -4.4265e+00 -1.2688e+00 -1.7240e+00 -3.2399e+00 +4.2772e+00
% function evaluation | noise-free fitness - Fopt (-2.444600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.073360497e+01 +8.073360497e+01 -1.637263950e+02 -1.637263950e+02 -2.5889e+00 +3.6789e+00 +2.7844e+00 +4.3864e+00 +4.0709e+00 +1.5091e+00 -1.0190e+00 +1.2144e+00 +3.8401e+00 -3.7081e+00 +1.8797e+00 -1.1887e-01 -3.2474e+00 +3.5322e+00 +3.1344e+00 -6.6419e-01 +4.7294e+00 -2.5055e+00 -2.6581e+00 -3.6103e+00
3 +5.833859527e+01 +5.833859527e+01 -1.861214047e+02 -1.861214047e+02 +3.3782e+00 +3.9083e+00 -1.3506e+00 +7.3561e-01 -1.1711e+00 -1.4351e+00 -2.8524e+00 -1.7261e+00 +3.6652e+00 -1.1971e+00 +1.0786e+00 -4.5673e-01 -6.6404e-01 -3.5769e-01 +4.5980e+00 +2.7456e+00 +2.5216e+00 +2.8712e+00 +3.7635e+00 -3.8591e+00
182 +3.855701529e+01 +3.855701529e+01 -2.059029847e+02 -2.059029847e+02 +1.7471e+00 +2.1749e-01 +4.7568e+00 -2.2686e+00 +2.6811e+00 +2.6425e+00 +2.6914e+00 +3.0216e+00 -1.9696e-01 -3.7800e+00 -3.7487e+00 +2.5390e+00 -4.1989e+00 +1.2979e+00 +1.8965e+00 -3.6908e+00 +1.7437e+00 -3.9617e+00 -1.1770e+00 +4.4037e-01
